IRoot 0.12.1.19-gabriela																																	
classlabels	{'B|N', 'B|T', 'C|N', 'C|T', 'E|N', 'E|T', 'F|N', 'F|T', 'G|N', 'G|T'}																																
fea_x	1782.69	1751.92	1721.15	1690.38	1659.62	1628.85	1598.08	1567.31	1536.54	1505.77	1475	1444.23	1413.46	1382.69	1351.92	1321.15	1290.38	1259.62	1228.85	1198.08	1167.31	1136.54	1105.77	1075	1044.23	1013.46	982.692	951.923	921.154				
table																																	
groupcodes	groupnumbers	obsnames	obsids	classes	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
B082F	14	B082F.0.DAT	27928	0	0.00372363	0.0224834	0.103965	0.500516	0.914502	0.867058	0.52275	0.555985	0.6601	0.469845	0.27699	0.284253	0.275845	0.256964	0.18074	0.171734	0.173059	0.214917	0.230907	0.164074	0.164972	0.194935	0.231452	0.221631	0.156819	0.0893218	0.04259	0.0178848	0.0071905
B082F	14	B082F.1.DAT	27929	0	0.00221416	0.0189345	0.100946	0.463061	0.883306	0.923428	0.571257	0.589509	0.714598	0.515208	0.310625	0.316428	0.305852	0.281763	0.201739	0.192599	0.194071	0.233456	0.2433	0.165682	0.166162	0.193661	0.234017	0.227408	0.166038	0.0967708	0.0464498	0.0163804	0.00810881
B082F	14	B082F.2.DAT	27930	0	0.00132311	0.0174902	0.0928759	0.467861	0.894745	0.896198	0.536091	0.565666	0.697306	0.501257	0.293171	0.300541	0.291826	0.274761	0.195875	0.187043	0.189006	0.22861	0.242174	0.168333	0.168469	0.196854	0.235267	0.227562	0.165791	0.0966783	0.0475072	0.0193506	0.00929735
B082F	14	B082F.3.DAT	27931	0	0.00223698	0.0181053	0.0990258	0.462309	0.886234	0.919361	0.562321	0.585125	0.712153	0.510791	0.306042	0.313417	0.302615	0.279142	0.199207	0.190824	0.191909	0.230577	0.23955	0.163041	0.161965	0.189262	0.229333	0.224636	0.164411	0.0954113	0.0452597	0.0168593	0.00704873
B082F	14	B082F.4.DAT	27932	0	0.0028409	0.0185943	0.096762	0.465793	0.890718	0.915653	0.559057	0.582062	0.712765	0.513459	0.309606	0.315361	0.303211	0.279939	0.199246	0.189506	0.190746	0.229638	0.239383	0.16736	0.166027	0.194843	0.237365	0.233186	0.172317	0.0993561	0.0492058	0.018988	0.00760138
B121B	19	B121B.0.DAT	28241	1	0.00277902	0.0178988	0.0887341	0.423338	0.853869	0.910482	0.538162	0.541017	0.687247	0.527464	0.299897	0.297804	0.282608	0.270997	0.187094	0.176422	0.182075	0.234482	0.264586	0.175387	0.163807	0.192095	0.241158	0.243346	0.171472	0.0967673	0.0434878	0.0165049	0.0073003
B121B	19	B121B.1.DAT	28242	1	0.00319293	0.0145824	0.0849671	0.413229	0.85021	0.914142	0.523649	0.526014	0.700312	0.545228	0.2981	0.294106	0.274496	0.268546	0.18233	0.172706	0.180253	0.236082	0.269136	0.175547	0.164369	0.195209	0.250332	0.253403	0.179551	0.100566	0.0460036	0.0171141	0.00904503
B121B	19	B121B.2.DAT	28243	1	0.00156196	0.0161759	0.0866664	0.4291	0.863615	0.885361	0.509896	0.52054	0.671131	0.517999	0.286734	0.284701	0.269278	0.260601	0.179265	0.169062	0.175384	0.230163	0.259926	0.171742	0.160252	0.187777	0.237285	0.238845	0.169711	0.0962731	0.0420885	0.0163439	0.00829389
B121B	19	B121B.3.DAT	28244	1	0.00227326	0.0187435	0.0934672	0.435851	0.859315	0.913044	0.551552	0.552366	0.703712	0.555942	0.316787	0.31294	0.292989	0.281552	0.196739	0.185591	0.190171	0.242817	0.271177	0.181992	0.172012	0.199117	0.247608	0.249028	0.179756	0.105202	0.0488016	0.0207701	0.0102854
B121B	19	B121B.4.DAT	28245	1	0.00282435	0.0185808	0.0988937	0.44075	0.864414	0.919673	0.555472	0.55796	0.712606	0.548055	0.317394	0.314357	0.296813	0.283895	0.20051	0.191492	0.196702	0.247896	0.27295	0.181972	0.169626	0.195101	0.243538	0.241798	0.170981	0.098061	0.046446	0.0185535	0.0100385
C101F	38	C101F.0.DAT	29631	2	0.00465668	0.0226006	0.0924151	0.408654	0.831135	0.943878	0.574	0.581592	0.776362	0.610016	0.34317	0.341156	0.327405	0.308365	0.212578	0.200704	0.20086	0.245468	0.265635	0.163808	0.148766	0.178354	0.239222	0.250493	0.17724	0.0957013	0.0550203	0.0243483	0.0106603
C101F	38	C101F.1.DAT	29632	2	0.00448572	0.0217855	0.0907303	0.405969	0.829596	0.948771	0.587417	0.59509	0.783894	0.609357	0.35078	0.348106	0.335033	0.313282	0.219992	0.208935	0.209007	0.250329	0.265073	0.166199	0.153414	0.182013	0.240109	0.249161	0.174093	0.094203	0.0535475	0.0219656	0.00922749
C101F	38	C101F.2.DAT	29633	2	0.00369176	0.0189342	0.083393	0.394643	0.821526	0.952236	0.580933	0.579729	0.78194	0.613676	0.338573	0.334891	0.31791	0.298813	0.19959	0.185528	0.184874	0.228748	0.251643	0.153675	0.144518	0.177113	0.243785	0.264233	0.197347	0.114664	0.0726659	0.0388731	0.0195497
C101F	38	C101F.3.DAT	29634	2	0.00395877	0.0211153	0.0892222	0.390406	0.811276	0.957603	0.594264	0.590315	0.789032	0.618579	0.351839	0.350906	0.337252	0.315721	0.220885	0.20922	0.209921	0.25213	0.268342	0.163994	0.15222	0.180891	0.241849	0.256364	0.186161	0.103784	0.0585314	0.0241292	0.0113556
C101F	38	C101F.4.DAT	29635	2	0.00304069	0.0164398	0.0808652	0.364616	0.785094	0.963985	0.59566	0.575474	0.786836	0.620964	0.351824	0.349243	0.335465	0.318841	0.22141	0.208504	0.208954	0.250765	0.272103	0.163371	0.147003	0.177447	0.246805	0.272108	0.200493	0.109929	0.0631626	0.0262354	0.0123811
C033D	29	C033D.0.DAT	20058	3	0.00436523	0.0361561	0.0924859	0.387069	0.831515	0.914406	0.518324	0.537482	0.700572	0.478178	0.304167	0.357148	0.286892	0.31882	0.202125	0.17896	0.183879	0.236335	0.243184	0.137789	0.146874	0.186165	0.248528	0.252846	0.180634	0.114622	0.0835836	0.0312618	0.0124942
C033D	29	C033D.1.DAT	20059	3	0.00868638	0.032329	0.0873794	0.375373	0.838443	0.90962	0.502433	0.517356	0.672352	0.471862	0.300594	0.36815	0.279058	0.311975	0.191275	0.168879	0.176645	0.231035	0.241538	0.134537	0.149039	0.196539	0.268993	0.26539	0.194081	0.122393	0.0986632	0.0325751	0.0129439
C033D	29	C033D.2.DAT	20060	3	0.00301975	0.062103	0.0991076	0.422287	0.87081	0.894054	0.480528	0.516456	0.657552	0.443378	0.248842	0.327454	0.250883	0.279481	0.166821	0.153942	0.154857	0.21171	0.221863	0.128219	0.134634	0.198784	0.271291	0.235316	0.185466	0.124026	0.0982693	0.0346918	0.0256819
C033D	29	C033D.3.DAT	20061	3	0.00623285	0.0263297	0.076361	0.389753	0.846869	0.876112	0.487655	0.505237	0.658401	0.458852	0.283036	0.341828	0.264124	0.298152	0.189354	0.166184	0.169338	0.227349	0.235111	0.136354	0.142821	0.20036	0.251054	0.249041	0.189343	0.124522	0.0955952	0.0383711	0.0228566
C033D	29	C033D.4.DAT	20062	3	0.012379	0.0369514	0.0736293	0.396876	0.846251	0.899422	0.510418	0.526413	0.684053	0.471133	0.293755	0.354895	0.283453	0.317945	0.203723	0.179033	0.184448	0.244933	0.250747	0.144777	0.153354	0.210484	0.27908	0.26592	0.201715	0.138898	0.106585	0.0410171	0.02269
E123B	65	E123B.0.DAT	33500	4	0.00255073	0.0175436	0.0986216	0.494052	0.912868	0.846326	0.502265	0.532908	0.639643	0.468624	0.273296	0.275778	0.26193	0.249028	0.175585	0.169128	0.174114	0.220319	0.247433	0.179399	0.184408	0.215262	0.249434	0.233538	0.163256	0.0986397	0.049384	0.0211439	0.00923298
E123B	65	E123B.1.DAT	33501	4	0.0037798	0.0220565	0.111379	0.494361	0.904997	0.884315	0.535151	0.564703	0.673219	0.478608	0.286093	0.29241	0.278298	0.256297	0.181361	0.17613	0.180688	0.223834	0.239339	0.168766	0.175313	0.206918	0.241295	0.227113	0.160576	0.0946252	0.0450604	0.0166573	0.00730038
E123B	65	E123B.2.DAT	33502	4	0.00283709	0.0180426	0.100966	0.458128	0.878271	0.911378	0.549991	0.569241	0.705727	0.516523	0.301796	0.305961	0.290005	0.2705	0.190062	0.184706	0.189692	0.232476	0.248584	0.168262	0.168986	0.196427	0.236225	0.230672	0.166005	0.099018	0.0518324	0.0217274	0.00966648
E123B	65	E123B.3.DAT	33503	4	0.00314559	0.020456	0.112961	0.48444	0.893897	0.901281	0.551958	0.574175	0.684322	0.487582	0.295956	0.300437	0.287064	0.261811	0.186731	0.181475	0.186025	0.227555	0.241309	0.165796	0.169944	0.198488	0.234426	0.226386	0.1622	0.0951434	0.0460919	0.0160073	0.0067679
E123B	65	E123B.4.DAT	33504	4	0.00373867	0.0231822	0.119184	0.508396	0.917475	0.877327	0.526275	0.559818	0.663887	0.455965	0.276737	0.283775	0.271474	0.24791	0.176377	0.172999	0.179222	0.223005	0.238007	0.16709	0.174583	0.20767	0.244104	0.228608	0.161229	0.0944971	0.0444123	0.0152084	0.00559928
E062C	59	E062C.0.DAT	32736	5	0.00260596	0.017616	0.0873967	0.418915	0.839886	0.936585	0.581845	0.582945	0.743825	0.601329	0.34527	0.339162	0.321432	0.30839	0.215925	0.204646	0.20445	0.247531	0.266508	0.172866	0.158412	0.180868	0.227514	0.235415	0.171195	0.0990971	0.0506806	0.0208677	0.00867557
E062C	59	E062C.1.DAT	32737	5	0.00283075	0.0216835	0.0999828	0.446869	0.854042	0.941246	0.611761	0.607627	0.753724	0.61523	0.367025	0.35665	0.335878	0.31473	0.22431	0.211879	0.211876	0.256067	0.269707	0.178312	0.167473	0.191932	0.236033	0.241314	0.176267	0.105025	0.0535949	0.0211461	0.00870646
E062C	59	E062C.2.DAT	32738	5	0.00385548	0.0178615	0.0875642	0.415512	0.836467	0.942032	0.589234	0.585915	0.751742	0.614714	0.352479	0.344631	0.325696	0.312157	0.219688	0.207779	0.207994	0.251479	0.269293	0.173189	0.158056	0.180025	0.227621	0.236693	0.172347	0.0993748	0.0520221	0.0219078	0.00943592
